Entidad,Valor,Mes,Anio
10,22.21,9,2023
10,22.23,10,2023
10,22.23,11,2023
10,22.33,12,2023
10,22.55,1,2024
10,23.06,2,2024
10,23.21,3,2024
10,23.38,4,2024
10,23.47,5,2024
10,23.59,6,2024
10,24.03,7,2024
10,24.32,8,2024
10,24.27,9,2024
10,24.26,10,2024
10,24.39,11,2024
10,24.42,12,2024
10,24.7,1,2025
10,24.69,2,2025
10,24.05,3,2025
10,23.86,4,2025
11,16.03,1,2017
11,16.02,2,2017
11,15.98,3,2017
11,15.99,4,2017
11,15.9,5,2017
11,15.79,6,2017
11,15.71,7,2017
11,15.78,8,2017
11,16.01,9,2017
11,16.14,10,2017
11,16.22,11,2017
11,16.35,12,2017
11,16.92,1,2018
11,17.53,2,2018
11,17.76,3,2018
11,17.86,4,2018
11,18.04,5,2018
11,18.3,6,2018
11,18.73,7,2018
11,19.25,8,2018
11,19.47,9,2018
11,19.66,10,2018
11,19.56,11,2018
11,19.23,12,2018
11,19.05,1,2019
11,19.62,2,2019
11,20.08,3,2019
11,19.88,4,2019
11,19.83,5,2019
11,19.64,6,2019
11,19.77,7,2019
11,19.7,8,2019
11,19.9,9,2019
11,19.81,10,2019
11,19.88,11,2019
11,20.03,12,2019
11,20.15,1,2020
11,20.01,2,2020
11,18.29,3,2020
11,15.74,4,2020
11,17.09,5,2020
11,18.49,6,2020
11,19.43,7,2020
11,19.52,8,2020
11,19.45,9,2020
11,19.36,10,2020
11,18.88,11,2020
11,19.1,12,2020
11,20.04,1,2021
11,20.76,2,2021
11,20.98,3,2021
11,21.16,4,2021
11,21.35,5,2021
11,21.47,6,2021
11,21.52,7,2021
11,21.6,8,2021
11,21.67,9,2021
11,21.7,10,2021
11,21.61,11,2021
11,21.79,12,2021
11,22.04,1,2022
11,22.19,2,2022
11,22.43,3,2022
11,22.41,4,2022
11,22.59,5,2022
11,22.71,6,2022
11,22.86,7,2022
11,22.87,8,2022
11,22.9,9,2022
11,23.12,10,2022
11,23.01,11,2022
11,22.92,12,2022
11,23.18,1,2023
11,23.3,2,2023
11,23.39,3,2023
11,23.36,4,2023
11,23.45,5,2023
11,23.39,6,2023
11,23.36,7,2023
11,23.6,8,2023
11,23.52,9,2023
11,23.57,10,2023
11,23.6,11,2023
11,23.54,12,2023
11,23.82,1,2024
11,24.32,2,2024
11,24.34,3,2024
11,24.57,4,2024
11,24.57,5,2024
11,24.68,6,2024
11,24.89,7,2024
11,25.0,8,2024
11,24.76,9,2024
11,24.93,10,2024
11,24.97,11,2024
11,24.94,12,2024
11,25.22,1,2025
11,25.16,2,2025
11,24.07,3,2025
11,23.92,4,2025
12,15.85,1,2017
12,15.89,2,2017
12,15.78,3,2017
12,15.81,4,2017
12,15.72,5,2017
12,15.61,6,2017
12,15.52,7,2017
12,15.59,8,2017
12,15.82,9,2017
12,15.94,10,2017
12,16.03,11,2017
12,16.1,12,2017
12,16.62,1,2018
12,17.22,2,2018
12,17.44,3,2018
12,17.51,4,2018
12,17.68,5,2018
12,17.9,6,2018
12,18.3,7,2018
12,18.85,8,2018
12,19.06,9,2018
12,19.23,10,2018
12,19.16,11,2018
12,18.82,12,2018
12,18.67,1,2019
12,19.17,2,2019
12,19.54,3,2019
12,19.37,4,2019
12,19.29,5,2019
12,19.12,6,2019
12,19.26,7,2019
12,19.04,8,2019
12,19.09,9,2019
12,18.96,10,2019
12,18.97,11,2019
12,19.09,12,2019
12,19.15,1,2020
12,19.0,2,2020
12,17.07,3,2020
12,14.31,4,2020
12,15.76,5,2020
12,17.28,6,2020
12,18.4,7,2020
12,18.34,8,2020
12,18.22,9,2020
12,17.99,10,2020
12,17.23,11,2020
12,17.58,12,2020
12,18.76,1,2021
12,19.66,2,2021
12,19.91,3,2021
12,19.83,4,2021
12,19.83,5,2021
12,19.86,6,2021
12,19.82,7,2021
12,19.88,8,2021
12,19.86,9,2021
12,19.78,10,2021
12,19.69,11,2021
12,19.94,12,2021
12,20.38,1,2022
12,20.53,2,2022
12,20.89,3,2022
12,21.05,4,2022
